text,date,n_favs,n_rts
sneaking 1 https://t.co/PLuF3IH18d,2022-10-20 12:28:34+00:00,1,0
esperando hoy a las 12 álbum de taylor swift mi artista favorita reina y señora presidenta del ku klux klan,2022-10-20 10:20:41+00:00,1,0
@MiniFreesia twice saca cada 15 min únete a once,2022-10-20 03:23:29+00:00,1,0
"rutas para blancos, $200 diarios 😃",2022-10-20 02:35:45+00:00,2,1
"@MiniFreesia XDDDDDDDD, mira pasé por ahí (fue ayer) y ni ahí servía, el de Audi también, como que todo estaba caído",2022-10-20 00:57:46+00:00,1,0
@cchangUSB fue difícil porque están soldados a mis oídos,2022-10-19 17:33:58+00:00,2,0
do linux pero don't ubuntu q pupú,2022-10-19 01:17:38+00:00,0,1
#NosDueleLaSimón porque antes no nos hacían bullying y ahora no puedes pasar por MEM sin que te hagan bullying,2022-10-19 01:03:46+00:00,3,0
pregunta seria por qué hay tantos WiFi con clave en la simón si la gente que está dentro por lo general son de la simón,2022-10-18 18:24:33+00:00,1,0
8 años en la red social más basura de internet #MyTwitterAnniversary https://t.co/IgEwBd6ppJ,2022-10-18 14:46:26+00:00,1,0
"el francés es una cacofonía, todo suena mal ahí es increíble",2022-10-18 04:27:52+00:00,1,0
https://t.co/QNT5iNW8jj https://t.co/kGWkzjnNgQ,2022-10-17 23:43:03+00:00,1,0
@_gusgustavo tremendo álbum,2022-10-17 23:13:38+00:00,1,0
whatever you're thinking about: no apruebo ❌,2022-10-17 02:45:49+00:00,2,0
aclarado que la gente y sobre todo en twitter no es más güevona e incendiaria porque no puede 🎉 https://t.co/wScEm5fMP3,2022-10-16 22:41:31+00:00,1,0
https://t.co/5K89lw5fWs https://t.co/VpOUcYyxWO,2022-10-16 17:04:36+00:00,2,0
"we are just the painting
we are the canvas
we are the artwork",2022-10-16 01:15:11+00:00,1,0
esperando la kanye west night la quinta bar,2022-10-15 23:11:15+00:00,2,0
me gusta recordar hasta que queme,2022-10-15 06:40:24+00:00,1,0
realmente una era https://t.co/2Cc5vitmKz,2022-10-15 03:16:42+00:00,1,0
life hack compren audífonos con cables desmontables https://t.co/ZRf7JGC1fT,2022-10-15 02:12:16+00:00,1,0
https://t.co/faCzl74822 https://t.co/00ENfx1U5f,2022-10-14 04:21:56+00:00,1,0
claramente a crowd looked at me https://t.co/UyulX14o1b,2022-10-14 04:12:20+00:00,3,0
gente picada y el que llora y se trauma de por vida porque un día le dijeron que si no sabía leer por hacer una pregunta gafa,2022-10-13 22:09:50+00:00,1,0
let's say it's interesting at least https://t.co/plKRne4E5d,2022-10-13 21:17:24+00:00,1,0
@Povalles_g se emocionó,2022-10-13 15:55:17+00:00,2,0
"@MiniFreesia veo entre z-lib, https://t.co/4cZ7uGHNoZ, scribd y https://t.co/UuB53daB3K, si no está por ahí me arranco la arteria aorta",2022-10-13 01:37:22+00:00,3,0
estudien!! https://t.co/mSduTLuwMG,2022-10-13 01:33:46+00:00,1,0
@gonthal fucking librazo,2022-10-12 04:47:07+00:00,1,0
Vamos a cambiar el apodo se simonbobos por simamaguevos,2022-10-11 16:42:06+00:00,2,0
por qué siempre que se conmemora algo en un día sale un revolucionario diciendo que ese día debería ser todos los d… https://t.co/bLGHP4dX3z,2022-10-11 03:09:56+00:00,1,0
ganas de llorar? llevar media hora escuchando un álbum y darme cuenta que estaba en aleatorio,2022-10-11 03:05:05+00:00,1,0
el ceic hoy está como que no funciona qué extraño,2022-10-10 20:11:00+00:00,3,1
extraño ver mates y tener un 5 regalado ahora los 5 son más difíciles,2022-10-10 14:27:24+00:00,2,0
Maracay no lluevas mañana,2022-10-10 06:00:56+00:00,1,0
basta de mariqueras mañana entro en modo serio para el trimestre!!,2022-10-10 03:49:08+00:00,3,0
@LeGranColombia y a tu mamá jajajajajajajaj jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaj… https://t.co/dqxUN13xT4,2022-10-10 00:45:44+00:00,2,0
@rayitodesoli soy con https://t.co/KqYxtVNk7C,2022-10-09 23:49:34+00:00,1,0
europeos orgullosos por tener ciudades caminables hermano en Latinoamérica tenemos para repartir ese es estados unidos que es una basura,2022-10-09 14:18:07+00:00,1,0
@SamjayMustafa empezó https://t.co/wDPrN7mDT3,2022-10-09 13:59:12+00:00,1,0
dijkstra lloranding https://t.co/JRhafdFLUL,2022-10-09 04:21:06+00:00,1,0
@atlour pero ratio por circles es chimbo,2022-10-09 03:37:55+00:00,1,0
dios es grande de pana https://t.co/xIDznvARug,2022-10-09 03:36:40+00:00,1,0
emoji movie no fue tan mala,2022-10-09 01:54:31+00:00,1,0
https://t.co/kFk3qxR0TJ https://t.co/Xou67QvoOT,2022-10-09 00:16:44+00:00,4,0
@miguels1006 pana,2022-10-08 18:33:08+00:00,1,0
@valeen_te 🙋🏻‍♀️,2022-10-08 18:31:34+00:00,1,0
cómo carajo se pausa un reel en instagram chamo,2022-10-08 17:01:35+00:00,1,0
"@MiniFreesia en realidad lo más plausible es que gire sobre sí mismo pero horizontalmente, y no aparece esa opción",2022-10-08 14:06:34+00:00,2,0
tampoco es como que alguien compre una computadora usada buscando restaurar el disco duro del anterior dueño 😐 https://t.co/vb51QSpG8f,2022-10-08 14:04:45+00:00,1,0
@vallha11a las elecciones del 2024,2022-10-08 14:01:33+00:00,1,0
@gonthal son regletas tipo torre creo,2022-10-08 03:06:41+00:00,1,0
@EsJavier_ de mínimo común múltiplo,2022-10-08 00:54:17+00:00,1,0
@barbscarlet yo cuando vi física 1 con mi honorable rector Stephany,2022-10-07 21:47:41+00:00,1,0
@EsJavier_ sí o sí,2022-10-07 20:34:11+00:00,1,0
https://t.co/dV0r8o58NU https://t.co/useLVJ8FVi,2022-10-07 17:24:12+00:00,1,0
firmas para eliminar las físicas de la carrera de computación,2022-10-06 22:44:13+00:00,2,0
@Maryelissth la verdadera fiebre,2022-10-06 16:39:17+00:00,1,0
pensando de pana https://t.co/q8Pdb23AB7,2022-10-06 05:28:40+00:00,1,0
"gente que usa solo twitter like ""facebook está muriendo"" o ""facebook está muerto"" y facebook con 6 veces más usuari… https://t.co/SptIUo420r",2022-10-06 03:57:47+00:00,2,0
@MiniFreesia el pasado metí 5 por primera vez y aunque las pasé ha sido el trimestre en el que peor me ha ido desde… https://t.co/nqhgw2TUik,2022-10-06 02:32:53+00:00,2,0
"@ericitodemar tampoco es que molesten demasiado XD, estoy hablando paja y ya",2022-10-05 16:40:32+00:00,1,0
"deberían haber listas de correo de ciclo básico y de cada carrera (no sé si la hay, parece que no). qué fastidio re… https://t.co/LjVbdckpcK",2022-10-05 16:11:17+00:00,1,0
@MiniFreesia mañana en yt sin falta,2022-10-05 02:44:54+00:00,1,0
@1500ann la del papel jsasjsS,2022-10-05 02:17:25+00:00,1,0
@Eycer1 🤣 opté por un diseño minimalista,2022-10-04 19:18:16+00:00,1,0
la pizza de don cangrejo es la mejor pizza para mí para ti!!!,2022-10-04 04:57:42+00:00,1,0
@EsJavier_ probablemente Sergio Rojas.,2022-10-03 18:42:06+00:00,1,0
@rohelysss nOOO 😭😭,2022-10-03 04:10:43+00:00,1,0
@MiniFreesia pa probar,2022-10-02 23:37:32+00:00,1,0
me pareció bamboo https://t.co/Wtg4bRwKu6,2022-10-02 23:24:56+00:00,1,0
"llevo ya casi un año que me compré mis 2 audífonos, q amo como se escuchan, y cm ya me acostumbré a escuchar música… https://t.co/yuEsHsqviM",2022-10-02 21:01:28+00:00,1,0
¡feliz 2 de octubre!,2022-10-02 04:01:02+00:00,1,0
@rosalia cómo estás respóndeme en ig,2022-10-02 00:21:06+00:00,2,0
"los algoritmos de instagram están jodidos en un nivel que resulta incomprensible, nojoda",2022-10-01 22:01:14+00:00,1,0
el coñísimo de la madre con windows https://t.co/ztD5fMZsvk,2022-10-01 18:46:18+00:00,2,0
@amanda_v18 amén,2022-10-01 04:35:20+00:00,1,0
me putting my liked playlist on shuffle i have 11k songs btw,2022-10-01 04:34:46+00:00,1,0
